nro,playerId,seasonId,queueId,gameId,gameMode,gameDuration,gameCreation,win,teamId,firstBlood,firstTower,firstDragon,firstInhibitor,firstBaron,myTeamKills,myTeamtowerKills,myTeamdragonKills,myTeaminhibitorKills,myTeambaronKills,enemyTeamKills,enemyTeamtowerKills,enemyTeamdragonKills,enemyTeaminhibitorKills,enemyTeambaronKills,teamId,participantId,spell1Id,spell2Id,championId,magicDamageDealtToChampions,physicalDamageDealtToChampions,physicalDamageTaken, magicalDamageTaken,totalTimeCrowdControlDealt,damageDealtToTurrets,largestKillingSpree,pentaKills,quadraKills,tripleKills,doubleKills,kills,deaths,assits,totalMinionsKilled,goldSpent,wardsPlaced
0,1,12,420,646526418,CLASSIC,1520,1545010361164,Fail,100,True,False,False,False,False,11,1,0,0,0,46,8,3,2,1,100,2,12,4,75,2768,5836,16676,6858,198,964,0,0,0,0,0,2,15,4,65,6150,6
1,0,12,420,646513284,CLASSIC,1897,1545008016260,Win,100,False,True,True,True,True,40,8,3,2,1,24,2,1,0,0,100,1,12,4,75,5971,10376,19818,5701,373,10891,2,0,0,0,1,6,6,12,101,11000,8
2,5,12,440,645796767,CLASSIC,1513,1544831322885,Fail,200,False,True,True,False,False,11,2,1,0,0,22,9,1,1,1,200,6,12,4,75,5264,6610,17012,1686,706,4591,5,0,0,0,0,6,7,0,111,8950,5
3,5,12,430,644171868,CLASSIC,2017,1544402401742,Win,200,True,True,True,True,True,41,11,3,4,1,17,3,1,0,0,200,6,14,4,126,3439,17594,16025,4426,181,6347,4,0,0,0,1,10,3,8,130,11500,4
4,0,12,430,644129363,CLASSIC,1333,1544400677865,Win,100,False,True,True,False,False,23,7,2,0,0,15,2,0,0,0,100,1,14,4,75,3503,7231,13040,6571,341,8232,3,0,0,0,1,5,4,2,142,8700,2
5,5,12,430,644125288,CLASSIC,1542,1544398712351,Fail,200,True,False,True,False,False,15,2,2,0,0,27,7,1,1,0,200,6,14,4,53,5003,2172,9130,6940,165,1091,2,0,0,0,0,2,6,4,38,6025,13
6,5,12,420,639604025,CLASSIC,1567,1543203543830,Win,200,True,True,True,True,True,42,11,2,3,1,20,2,0,0,0,200,6,12,4,98,6325,4126,13756,3268,230,4716,0,0,0,0,0,2,2,13,95,8150,4
7,4,12,440,639500125,CLASSIC,1795,1543179266823,Win,100,True,False,False,True,False,33,7,1,1,0,20,4,2,0,0,100,5,12,4,98,5847,5991,20081,7266,320,4099,2,0,0,0,0,3,4,13,130,8600,4
8,7,12,440,639457041,CLASSIC,1505,1543177306771,Win,200,True,False,True,True,False,43,9,3,2,0,25,4,0,0,0,200,8,12,4,98,6632,7962,16856,3590,439,6831,7,0,0,0,2,12,5,17,88,9950,6
9,3,12,440,639464073,CLASSIC,942,1543175788730,Fail,100,False,False,False,False,False,4,1,0,0,0,21,4,0,0,0,100,4,12,4,24,599,2372,3998,5742,31,3440,0,0,0,0,0,1,6,0,83,4625,4
